Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
XOM,10,USD,104.8700027,1048.70,104.90,-0.30,0.00,No,STK,1048.70
UAL,-7,USD,45.0400009,-315.28,38.1688428,-48.10,0.00,No,STK,-315.28
TSLA,3,USD,167.1900025,501.57,148.3333334,56.57,0.00,No,STK,501.57
MSFT,3,USD,308.3800049,925.14,243.6433334,194.21,0.00,No,STK,925.14
LTC,-2,USD,33.6478004,-67.30,37.6784,8.06,0.00,No,STK,-67.30
IBM,-2,USD,122.6999969,-245.40,141.5566,37.71,0.00,No,STK,-245.40
GOOGL,5,USD,117.4499969,587.25,90.16,136.45,0.00,No,STK,587.25
GOOG,-13,USD,117.8000031,-1531.40,89.8768231,-363.00,0.00,No,STK,-1531.40
ENB,15,USD,38.4399986,576.60,38.57,-1.95,0.00,No,STK,576.60
DB,1621,USD,10.50,17020.50,12.6621444,-3504.84,0.00,No,STK,17020.50
COP,1,USD,98.9199981,98.92,111.44,-12.52,0.00,No,STK,98.92
C PRJ,470,USD,25.2399006,11862.75,25.4904256,-117.75,0.00,No,STK,11862.75
AMZ,-12,EUR,101.5599976,-1218.72,79.5975,-263.55,0.00,No,STK,-1218.72
AMD,5,USD,94.9599991,474.80,65.29,148.35,0.00,No,STK,474.80
AAPL,3,USD,172.4400025,517.32,133.9166666,115.57,0.00,No,STK,517.32

FX Portfolio - Virtual FX Position
USD.CHF,49998,CHF,0.898475,44921.95,0.925185,-1335.45,0.00,No,CASH,44921.95
GBP.USD,49998,USD,1.244825,62238.76,1.2156799,1457.19,0.00,No,CASH,62238.76

Cash Balances
CHF,-46628,CHF
EUR,943,EUR
GBP,50496,GBP
USD,970216,USD
Total (in USD),982201,USD

