#Form: {ConId; Ticker; Price; Bar Count; Volume; High Price; Low Price; Current Price; WAP}

{265598;AAPL;131.44;200161;39270796;133.08;131.04;131.35;131.957}
{13013290;AMZ;100.92;1576;109365;101.36;97.72;99.92;99.95308}
{479624278;BTC;20502.75;6785;126.44096352;20767.25;20418.0;20374.25;20578.575}
{12087807;EUR;0.0001;-1;-1;0.8594;0.85795;0.85988;-1}
{14094;BMW;77.39;8779;676668;78.17;77.0;77.07;77.53716}
{495759171;ETH;1079.85;2981;1498.78682277;1091.95;1070.9;1066.75;1079.76}
{12087797;GBP;0.0002;-1;-1;1.2233;1.221;1.23915;-1}
{208813719;GOOGL;107.12;3144;8262220;108.6995;105.898;106.365;107.4473}
{76792991;TSLA;216.6767;36732;20789280;219.8467;214.8133;215.5133;217.4896666666667}
{12087820;USD;0.97085;-1;-1;0.97115;0.9694;0.9669;-1}
